"id","name_dev","name_roman","seq"
"g01","शाण्डिल्य","śāṇḍilya","1"
"g02","वत्स","vatsa","2"
"g03","काश्यप","kāśyapa","3"
"g04","सावर्ण","sāvarṇa","4"
"g05","पराशर","parāśara","5"
"g06","भारद्वाज","bhāradvāja","6"
"g07","कात्यायन","kātyāyana","7"
"g08","अलाम्बुकाक्ष","alāmbukākṣa","8"
"g09","गर्ग","garga","9"
"g10","कौशिक","kauśika","10"
"g11","कृष्णात्रेय","kṛṣṇātreya","11"
"g12","मौद्गल्य","maudgalya","12"
"g13","गौतम","gautama","13"
"g14","वशिष्ठ","vaśiṣṭha","14"
"g15","कौण्डिल्य","kauṇḍilya","15"
"g16","जातुकर्ण","jātukarṇa","16"
"g17","तण्डि","taṇḍi","17"
"g18","विष्णुवृद्धि","viṣṇuvṛddhi","18"
"g19","उपमन्यु","upamanyu","19"
"g20","कपिल","kapila","20"
