"mool_id","gotra_id"
"m_dirdhoṣa","g01"
"m_sarisaba","g01"
"m_mahua","g01"
"m_parvapallī","g01"
"m_khaṇḍabalā","g01"
"m_gaṃgolī","g01"
"m_yamuśāma","g01"
"m_kariana","g01"
"m_mohari","g01"
"m_sajhuāla","g01"
"m_maṛāra","g01"
"m_paṇḍolī","g01"
"m_jajivāla","g01"
"m_dahibhata","g01"
"m_tilaya","g01"
"m_māhaba","g01"
"m_simmuāla","g01"
"m_siṃhāśrama","g01"
"m_sodarapura","g01"
"m_kaṛariyā","g01"
"m_allāri","g01"
"m_hoiyāra","g01"
"m_talhanapura","g01"
"m_parisarā","g01"
"m_parasaṛā","g01"
"m_vīranāma","g01"
"m_uttamapura","g01"
"m_kodariyā","g01"
"m_chatimana","g01"
"m_varevā","g01"
"m_machheāla","g01"
"m_gaṃgaura","g01"
"m_bhaṭora","g01"
"m_budhaurā","g01"
"m_brahmapurā","g01"
"m_koiāra","g01"
"m_kerahivāra","g01"
"m_gaṃguāla","g01"
"m_ghoṣiyāma","g01"
"m_chataunī","g01"
"m_bhiguāla","g01"
"m_nanautī","g01"
"m_tapanapura","g01"
"m_pallī","g02"
"m_hariamba","g02"
"m_tisurī","g02"
"m_rāuṛha","g02"
"m_ṭakavāla","g02"
"m_ghusauta","g02"
"m_jajivāla","g02"
"m_pahaddī","g02"
"m_jallakī","g02"
"m_bhandavāla","g02"
"m_koiāra","g02"
"m_kerahivāra","g02"
"m_nanaura","g02"
"m_ḍaṛhāra","g02"
"m_karamahā","g02"
"m_budhavāla","g02"
"m_maṛāra","g02"
"m_lāhī","g02"
"m_saunī","g02"
"m_sakaunā","g02"
"m_phanandaha","g02"
"m_mohari","g02"
"m_vaṇṭhavāla","g02"
"m_tisauṃta","g02"
"m_baruālī","g02"
"m_paṇḍaulī","g02"
"m_baherāṛhī","g02"
"m_varevā","g02"
"m_alaya","g02"
"m_bhaṇḍārisamaya","g02"
"m_babhaniyāma","g02"
"m_ucati","g02"
"m_tapanapura","g02"
"m_viṭhuāla","g02"
"m_naravāla","g02"
"m_citrapallī","g02"
"m_jarahaṭiyā","g02"
"m_ratavāla","g02"
"m_brahmapurā","g02"
"m_saraunī","g02"
"m_oini","g03"
"m_khauāla","g03"
"m_saṃkarāṛhī","g03"
"m_jagati","g03"
"m_dariharā","g03"
"m_māṇḍara","g03"
"m_valiyāsa","g03"
"m_pacāuṭa","g03"
"m_kaṭāi","g03"
"m_satalakhā","g03"
"m_paṇḍuā","g03"
"m_mālichha","g03"
"m_merandī","g03"
"m_bhaduāla","g03"
"m_pakaliyā","g03"
"m_budhavāla","g03"
"m_pibhūyā","g03"
"m_maurī","g03"
"m_bhūtaharī","g03"
"m_chādana","g03"
"m_visphī","g03"
"m_thariyā","g03"
"m_dostī","g03"
"m_bharehā","g03"
"m_kusumbāla","g03"
"m_naravāla","g03"
"m_lagurdaha","g03"
"m_sondapura","g04"
"m_panicobha","g04"
"m_varevā","g04"
"m_nandora","g04"
"m_merandī","g04"
"m_naraona","g05"
"m_suragana","g05"
"m_sakurī","g05"
"m_suirī","g05"
"m_sammūāla","g05"
"m_pihavāla","g05"
"m_nadāma","g05"
"m_maheśāri","g05"
"m_sakarahona","g05"
"m_soini","g05"
"m_tilaya","g05"
"m_varevā","g05"
"m_ekaharā","g06"
"m_bilvapañcaka","g06"
"m_deyāma","g06"
"m_kaligāma","g06"
"m_bhūtaharī","g06"
"m_goṛhāra","g06"
"m_godhūli","g06"
"m_kujaulī","g07"
"m_nanautī","g07"
"m_jallakī","g07"
"m_vatigāma","g07"
"m_basāma","g08"
"m_kaṭāi","g08"
"m_brahmapurā","g08"
"m_basahā","g09"
"m_basāma","g09"
"m_brahmapurā","g09"
"m_suraura","g09"
"m_vudhaura","g09"
"m_uraura","g09"
"m_nikhūti","g10"
"m_lohanā","g11"
"m_busavana","g11"
"m_podaunī","g11"
"m_ratavāla","g12"
"m_mālichha","g12"
"m_dirdhoṣa","g12"
"m_kapiñjala","g12"
"m_jallakī","g12"
"m_brahmapurā","g13"
"m_untimapura","g13"
"m_koiāra","g13"
"m_kothuā","g14"
"m_ekaharā","g15"
"m_paraona","g15"
"m_devahāra","g16"
"m_kaṭāi","g17"
"m_busavana","g18"
